epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,1047.89,0.97894,1.31448,0.79212,1.06851,0,0.99429,0.99771,0.995,0.69016,0.99429,0.99771,0.995,0.6584,1.06482,1.44806,0.63335,1.26785,0,0.000511769,0.000511769,0.000511769
30,1077.95,0.99316,1.33611,0.78876,1.02977,0,0.99695,1,0.995,0.67712,0.99695,1,0.995,0.65412,1.20718,1.64261,0.67507,1.24142,0,0.000470511,0.000470511,0.000470511
31,1176.07,1.05668,1.10819,1.26583,1.13086,0,0.99623,1,0.995,0.69886,0.99623,1,0.995,0.66546,1.19988,1.69185,0.67047,1.23403,0,0.000429253,0.000429253,0.000429253
32,1210.81,0.89335,1.03408,0.96358,1.05321,0,0.99628,1,0.995,0.72333,0.99628,1,0.995,0.68876,1.06432,1.4353,0.72591,1.26042,0,0.000387994,0.000387994,0.000387994
33,1244.7,0.87801,1.01982,0.95526,1.03165,0,0.99508,1,0.995,0.70484,0.99508,1,0.995,0.69315,1.24019,1.41739,0.72352,1.33734,0,0.000346736,0.000346736,0.000346736
34,1278.67,0.92136,1.04511,0.93766,1.0297,0,0.98849,1,0.995,0.73251,0.98849,1,0.995,0.683,1.06927,1.53152,0.63091,1.27569,0,0.000305478,0.000305478,0.000305478
35,1312.45,0.82539,1.01224,0.90846,1.01573,0,0.99545,1,0.995,0.72266,0.99545,1,0.995,0.67734,1.08951,1.68508,0.64362,1.26388,0,0.00026422,0.00026422,0.00026422
36,1346.65,0.86305,0.95675,0.8767,1.0431,0,0.99592,1,0.995,0.71302,0.99592,1,0.995,0.67009,1.11355,1.61481,0.60985,1.3126,0,0.000222961,0.000222961,0.000222961
37,1380.47,0.83343,0.98811,0.85307,1.0552,0,0.99694,1,0.995,0.73169,0.99694,1,0.995,0.67745,1.00377,1.45876,0.58901,1.3275,0,0.000181703,0.000181703,0.000181703
38,1415.01,0.81106,0.95512,0.83468,1.0185,0,0.9963,1,0.995,0.74671,0.9963,1,0.995,0.68996,0.92109,1.44197,0.55655,1.30446,0,0.000140445,0.000140445,0.000140445
39,1448.32,0.75733,0.92847,0.81494,1.01347,0,0.99595,1,0.995,0.75249,0.99595,1,0.995,0.68348,0.9871,1.48981,0.56337,1.30061,0,9.91865e-05,9.91865e-05,9.91865e-05
40,1481.72,0.76488,0.95528,0.81187,1.00729,0,0.99594,1,0.995,0.74163,0.99594,1,0.995,0.68081,1.06389,1.52935,0.58098,1.30037,0,5.79283e-05,5.79283e-05,5.79283e-05
